unsintered,,500,,750,,RUN9,,RUN10,,RUN15,
XU,YU,X5,Y5,X75,Y75,X9,Y9,X10,Y10,X15,Y15
0,1,0,1,0,1,0.380969881,0.941229622,0.257852393,0.995721848,1.478259916,0.132665022
0.08164557,0.999844662,0.079746835,0.999848275,0.08164557,0.999844662,1.497300275,0.14995726,0.346030861,0.972007938,2.577293142,0.054194154
0.106329114,1.002080805,0.108227848,0.997510982,0.106329114,0.9997977,2.52695372,0.066729804,0.407525701,0.938679824,2.729264652,0.037517402
0.151898734,0.995144789,0.15,1.004280822,0.151898734,0.999710999,2.824041467,0.062394448,0.5251336,0.886305259,3.487013018,0.030484476
0.193670886,0.985932894,0.193670886,0.999631524,0.193670886,0.997348419,3.736335441,0.052497196,0.639538503,0.747982583,3.753057807,0.025749311
0.235443038,0.963022369,0.235443038,0.997268944,0.235443038,0.999552049,4.839124504,0.031218881,0.700934809,0.52129978,4.039322005,0.023400771
0.273417722,0.937835963,0.273417722,0.985781169,0.273417722,1.001762904,5.280816538,0.01923474,0.942819196,0.213577525,4.276919396,0.023430392
0.351265823,0.834948124,0.349367089,0.976504248,0.353164557,0.999328074,3.213418845,0.037602035,1.128719804,0.173098,4.528492528,0.023460013
0.425316456,0.597364314,0.423417722,0.9489661,0.425316456,0.990058378,3.135049853,0.061455587,1.527486758,0.120748825,4.873902951,0.021111473
0.514556962,0.346052974,0.516455696,0.878012832,0.512658228,0.971627363,4.0056939,0.047262787,2.170673426,0.082744788,5.288872649,0.013993915
0.601898734,0.113010086,0.601898734,0.754562598,0.6,0.934931507,4.276252684,0.04252339,2.684742901,0.051828688,3.135599743,0.039975964
0.687341772,0.067185423,0.685443038,0.606001821,0.683544304,0.845731461,3.486197686,0.059123973,,,,
0.767088608,0.053335067,0.767088608,0.35013872,0.765189873,0.658361511,,,,,,
0.848734177,0.050896624,0.850632911,0.190162418,0.848734177,0.459572424,,,,,,
0.930379747,0.043891972,0.930379747,0.098686492,0.930379747,0.116951332,,,,,,
1.012025316,0.034604214,1.010126582,0.043740246,1.008227848,0.055159384,,,,,,
1.086075949,0.027614011,1.089873418,0.020757471,1.086075949,0.034463326,,,,,,
