RUN7,,RUN8,,RUN20,
X7,Y7,X8,Y8,X20,Y20
0.197858771,0.982477369,0.166832828,0.982394697,0.229327373,0.944602481
0.398755989,0.589959904,0.190322569,0.991387118,0.335402432,0.906840327
0.527542054,0.489649134,0.217495678,0.777166091,0.514638481,0.683833559
0.635568795,0.460721573,0.3568141,0.924727465,0.621623697,0.322317963
0.528748497,0.195007384,0.519722022,0.415981181,0.666581145,0.315655379
0.854894225,0.222025981,0.593133916,0.373634509,0.862263739,0.114887285
0.960638615,0.179671794,0.64709982,0.14153386,1.394830105,0.077173982
1.427552938,0.086113794,0.828574734,0.255492967,2.087395916,0.077369388
2.136958012,0.050595048,1.260600788,0.128464224,2.553872416,0.06184215
3.076359157,0.053003799,1.351817513,0.117337372,3.149239206,0.032925862
3.974092009,0.026342193,2.170050525,0.068459639,3.912405056,0.044191753
4.227866196,0.041997197,2.594274043,0.037296186,4.534028811,0.024173941
5.172769394,0.024237824,3.100248543,0.055239691,,
,,5.133265237,0.013073394,,
